first_name,email,last_name,phone,status
Eum error et commodi,typaxaxeni@mailinator.com,Est esse maxime of,+1 (638) 983-5818,New
calling,zahon@mailinator.com,lead,+1 (125) 297-4505,Lost
test,domineb@mailinator.com,lead,+1 (129) 489-2382,Converted
Bankingv,bumoqatib@mailinator.com,Sector,+1 (208) 345-4106,Qualified
Rohittt,rohit@gmaill.comm,singhhhh,9898987676,Qualified
test,test@gmail.com,test,,Qualified
update,up@gmail.com,test,,New
delete,del@gmail.com,test,,New
test get,gg@gmail.com,check,,New
test get,gg@gmail.com,check,,New
Shah,aman@amroar.com,Aman,,New
loop,ll@gmail.com,check,,New
loop,ll@gmail.com,check,,New
web,web@gmail.com,hoo,,New
Test,lead1@gmail.com,Lead1,,New
aa,six@gmail.com,bb,,
aa,aa@gmail.com,bb,,New
Ankit,abc@gmail.com,Saini,,New
Pawan,pp@gmail.com,Saini,,New
Abhishek,abshk@gmail.com,Tripathi,,New
